Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), Time Stamp, Active Energy Inverter 1 (kWh), 
2025-07-01 04:00:00, 0, 2025-07-02 04:00:00, 0, 2025-07-03 04:00:00, 0, 2025-07-04 04:00:00, 0, 2025-07-05 04:00:00, 0, 2025-07-06 04:00:00, 0, 2025-07-07 04:00:00, 0, 2025-07-08 04:00:00, 0, 2025-07-09 04:00:00, 0, 2025-07-10 04:00:00, 0, 2025-07-11 04:00:00, 0, 2025-07-12 04:00:00, 0, 2025-07-13 04:00:00, 0, 2025-07-14 04:00:00, 0, 2025-07-15 04:00:00, 0, 2025-07-16 04:00:00, 0, 2025-07-17 04:00:00, 0, 2025-07-18 04:00:00, 0, 2025-07-19 04:00:00, 0, 2025-07-20 04:00:00, 0, 2025-07-21 04:00:00, 0, 2025-07-22 04:00:00, 0, 2025-07-23 04:00:00, 0, 2025-07-24 04:00:00, 0, 2025-07-25 04:00:00, 0, 2025-07-26 04:00:00, 0, 2025-07-27 04:00:00, 0, 2025-07-28 04:00:00, 0, 2025-07-29 04:00:00, 0, 2025-07-30 04:00:00, 0, 
2025-07-01 04:05:00, 0, 2025-07-02 04:05:00, 0, 2025-07-03 04:05:00, 0, 2025-07-04 04:05:00, 0, 2025-07-05 04:05:00, 0, 2025-07-06 04:05:00, 0, 2025-07-07 04:05:00, 0, 2025-07-08 04:05:00, 0, 2025-07-09 04:05:00, 0, 2025-07-10 04:05:00, 0, 2025-07-11 04:05:00, 0, 2025-07-12 04:05:00, 0, 2025-07-13 04:05:00, 0, 2025-07-14 04:05:00, 0, 2025-07-15 04:05:00, 0, 2025-07-16 04:05:00, 0, 2025-07-17 04:05:00, 0, 2025-07-18 04:05:00, 0, 2025-07-19 04:05:00, 0, 2025-07-20 04:05:00, 0, 2025-07-21 04:05:00, 0, 2025-07-22 04:05:00, 0, 2025-07-23 04:05:00, 0, 2025-07-24 04:05:00, 0, 2025-07-25 04:05:00, 0, 2025-07-26 04:05:00, 0, 2025-07-27 04:05:00, 0, 2025-07-28 04:05:00, 0, 2025-07-29 04:05:00, 0, 2025-07-30 04:05:00, 0, 
2025-07-01 04:10:00, 0, 2025-07-02 04:10:00, 0, 2025-07-03 04:10:00, 0, 2025-07-04 04:10:00, 0, 2025-07-05 04:10:00, 0, 2025-07-06 04:10:00, 0, 2025-07-07 04:10:00, 0, 2025-07-08 04:10:00, 0, 2025-07-09 04:10:00, 0, 2025-07-10 04:10:00, 0, 2025-07-11 04:10:00, 0, 2025-07-12 04:10:00, 0, 2025-07-13 04:10:00, 0, 2025-07-14 04:10:00, 0, 2025-07-15 04:10:00, 0, 2025-07-16 04:10:00, 0, 2025-07-17 04:10:00, 0, 2025-07-18 04:10:00, 0, 2025-07-19 04:10:00, 0, 2025-07-20 04:10:00, 0, 2025-07-21 04:10:00, 0, 2025-07-22 04:10:00, 0, 2025-07-23 04:10:00, 0, 2025-07-24 04:10:00, 0, 2025-07-25 04:10:00, 0, 2025-07-26 04:10:00, 0, 2025-07-27 04:10:00, 0, 2025-07-28 04:10:00, 0, 2025-07-29 04:10:00, 0, 2025-07-30 04:10:00, 0, 
2025-07-01 04:15:00, 0, 2025-07-02 04:15:00, 0, 2025-07-03 04:15:00, 0, 2025-07-04 04:15:00, 0, 2025-07-05 04:15:00, 0, 2025-07-06 04:15:00, 0, 2025-07-07 04:15:00, 0, 2025-07-08 04:15:00, 0, 2025-07-09 04:15:00, 0, 2025-07-10 04:15:00, 0, 2025-07-11 04:15:00, 0, 2025-07-12 04:15:00, 0, 2025-07-13 04:15:00, 0, 2025-07-14 04:15:00, 0, 2025-07-15 04:15:00, 0, 2025-07-16 04:15:00, 0, 2025-07-17 04:15:00, 0, 2025-07-18 04:15:00, 0, 2025-07-19 04:15:00, 0, 2025-07-20 04:15:00, 0, 2025-07-21 04:15:00, 0, 2025-07-22 04:15:00, 0, 2025-07-23 04:15:00, 0, 2025-07-24 04:15:00, 0, 2025-07-25 04:15:00, 0, 2025-07-26 04:15:00, 0, 2025-07-27 04:15:00, 0, 2025-07-28 04:15:00, 0, 2025-07-29 04:15:00, 0, 2025-07-30 04:15:00, 0, 
2025-07-01 04:20:00, 0, 2025-07-02 04:20:00, 0, 2025-07-03 04:20:00, 0, 2025-07-04 04:20:00, 0, 2025-07-05 04:20:00, 0, 2025-07-06 04:20:00, 0, 2025-07-07 04:20:00, 0, 2025-07-08 04:20:00, 0, 2025-07-09 04:20:00, 0, 2025-07-10 04:20:00, 0, 2025-07-11 04:20:00, 0, 2025-07-12 04:20:00, 0, 2025-07-13 04:20:00, 0, 2025-07-14 04:20:00, 0, 2025-07-15 04:20:00, 0, 2025-07-16 04:20:00, 0, 2025-07-17 04:20:00, 0, 2025-07-18 04:20:00, 0, 2025-07-19 04:20:00, 0, 2025-07-20 04:20:00, 0, 2025-07-21 04:20:00, 0, 2025-07-22 04:20:00, 0, 2025-07-23 04:20:00, 0, 2025-07-24 04:20:00, 0, 2025-07-25 04:20:00, 0, 2025-07-26 04:20:00, 0, 2025-07-27 04:20:00, 0, 2025-07-28 04:20:00, 0, 2025-07-29 04:20:00, 0, 2025-07-30 04:20:00, 0, 
2025-07-01 04:25:00, 0, 2025-07-02 04:25:00, 0, 2025-07-03 04:25:00, 0, 2025-07-04 04:25:00, 0, 2025-07-05 04:25:00, 0, 2025-07-06 04:25:00, 0, 2025-07-07 04:25:00, 0, 2025-07-08 04:25:00, 0, 2025-07-09 04:25:00, 0, 2025-07-10 04:25:00, 0, 2025-07-11 04:25:00, 0, 2025-07-12 04:25:00, 0, 2025-07-13 04:25:00, 0, 2025-07-14 04:25:00, 0, 2025-07-15 04:25:00, 0, 2025-07-16 04:25:00, 0, 2025-07-17 04:25:00, 0, 2025-07-18 04:25:00, 0, 2025-07-19 04:25:00, 0, 2025-07-20 04:25:00, 0, 2025-07-21 04:25:00, 0, 2025-07-22 04:25:00, 0, 2025-07-23 04:25:00, 0, 2025-07-24 04:25:00, 0, 2025-07-25 04:25:00, 0, 2025-07-26 04:25:00, 0, 2025-07-27 04:25:00, 0, 2025-07-28 04:25:00, 0, 2025-07-29 04:25:00, 0, 2025-07-30 04:25:00, 0, 
2025-07-01 04:30:00, 0, 2025-07-02 04:30:00, 0, 2025-07-03 04:30:00, 0, 2025-07-04 04:30:00, 0, 2025-07-05 04:30:00, 0, 2025-07-06 04:30:00, 0, 2025-07-07 04:30:00, 0, 2025-07-08 04:30:00, 0, 2025-07-09 04:30:00, 0, 2025-07-10 04:30:00, 0, 2025-07-11 04:30:00, 0, 2025-07-12 04:30:00, 0, 2025-07-13 04:30:00, 0, 2025-07-14 04:30:00, 0, 2025-07-15 04:30:00, 0, 2025-07-16 04:30:00, 0, 2025-07-17 04:30:00, 0, 2025-07-18 04:30:00, 0, 2025-07-19 04:30:00, 0, 2025-07-20 04:30:00, 0, 2025-07-21 04:30:00, 0, 2025-07-22 04:30:00, 0, 2025-07-23 04:30:00, 0, 2025-07-24 04:30:00, 0, 2025-07-25 04:30:00, 0, 2025-07-26 04:30:00, 0, 2025-07-27 04:30:00, 0, 2025-07-28 04:30:00, 0, 2025-07-29 04:30:00, 0, 2025-07-30 04:30:00, 0, 
2025-07-01 04:35:00, 0, 2025-07-02 04:35:00, 0, 2025-07-03 04:35:00, 0, 2025-07-04 04:35:00, 0, 2025-07-05 04:35:00, 0, 2025-07-06 04:35:00, 0, 2025-07-07 04:35:00, 0, 2025-07-08 04:35:00, 0, 2025-07-09 04:35:00, 0, 2025-07-10 04:35:00, 0, 2025-07-11 04:35:00, 0, 2025-07-12 04:35:00, 0, 2025-07-13 04:35:00, 0, 2025-07-14 04:35:00, 0, 2025-07-15 04:35:00, 0, 2025-07-16 04:35:00, 0, 2025-07-17 04:35:00, 0, 2025-07-18 04:35:00, 0, 2025-07-19 04:35:00, 0, 2025-07-20 04:35:00, 0, 2025-07-21 04:35:00, 0, 2025-07-22 04:35:00, 0, 2025-07-23 04:35:00, 0, 2025-07-24 04:35:00, 0, 2025-07-25 04:35:00, 0, 2025-07-26 04:35:00, 0, 2025-07-27 04:35:00, 0, 2025-07-28 04:35:00, 0, 2025-07-29 04:35:00, 0, 2025-07-30 04:35:00, 0, 
2025-07-01 04:40:00, 0, 2025-07-02 04:40:00, 0, 2025-07-03 04:40:00, 0, 2025-07-04 04:40:00, 0, 2025-07-05 04:40:00, 0, 2025-07-06 04:40:00, 0, 2025-07-07 04:40:00, 0, 2025-07-08 04:40:00, 0, 2025-07-09 04:40:00, 0, 2025-07-10 04:40:00, 0, 2025-07-11 04:40:00, 0, 2025-07-12 04:40:00, 0, 2025-07-13 04:40:00, 0, 2025-07-14 04:40:00, 0, 2025-07-15 04:40:00, 0, 2025-07-16 04:40:00, 0, 2025-07-17 04:40:00, 0, 2025-07-18 04:40:00, 0, 2025-07-19 04:40:00, 0, 2025-07-20 04:40:00, 0, 2025-07-21 04:40:00, 0, 2025-07-22 04:40:00, 0, 2025-07-23 04:40:00, 0, 2025-07-24 04:40:00, 0, 2025-07-25 04:40:00, 0, 2025-07-26 04:40:00, 0, 2025-07-27 04:40:00, 0, 2025-07-28 04:40:00, 0, 2025-07-29 04:40:00, 0, 2025-07-30 04:40:00, 0, 
2025-07-01 04:45:00, 0, 2025-07-02 04:45:00, 0, 2025-07-03 04:45:00, 0, 2025-07-04 04:45:00, 0, 2025-07-05 04:45:00, 0, 2025-07-06 04:45:00, 0, 2025-07-07 04:45:00, 0, 2025-07-08 04:45:00, 0, 2025-07-09 04:45:00, 0, 2025-07-10 04:45:00, 0, 2025-07-11 04:45:00, 0, 2025-07-12 04:45:00, 0, 2025-07-13 04:45:00, 0, 2025-07-14 04:45:00, 0, 2025-07-15 04:45:00, 0, 2025-07-16 04:45:00, 0, 2025-07-17 04:45:00, 0, 2025-07-18 04:45:00, 0, 2025-07-19 04:45:00, 0, 2025-07-20 04:45:00, 0, 2025-07-21 04:45:00, 0, 2025-07-22 04:45:00, 0, 2025-07-23 04:45:00, 0, 2025-07-24 04:45:00, 0, 2025-07-25 04:45:00, 0, 2025-07-26 04:45:00, 0, 2025-07-27 04:45:00, 0, 2025-07-28 04:45:00, 0, 2025-07-29 04:45:00, 0, 2025-07-30 04:45:00, 0, 
