Inverter,D2
Inverter 1,0.06698439224174477
Inverter 2,0.06201859613624088
Inverter 3,0.05809198406721109
Inverter 4,0.09770370370368811
Inverter 5,0.04690067776754648
Inverter 6,0.0921676841676695
Inverter 7,0.06466458819399741
Inverter 8,0.06402161519808347
Inverter 9,0.063013716543126
Inverter 10,0.06032682032681813
Inverter 11,0.06310745428392246
Inverter 12,0.06133198897904528
Inverter 13,0.0655027907969059
Inverter 14,0.05917786053815433
Inverter 15,0.06047534165180973
Inverter 16,0.061473765591410184
Inverter 17,0.061522813875752834
Inverter 18,0.09879161579160568
Inverter 19,0.06044664077752267
Inverter 20,0.09358918220985403
Inverter 21,0.0613301078006956
Inverter 22,0.0626558123249295
Inverter 23,0.07070133540721528
Inverter 24,0.07230696701284658
Inverter 25,0.09909196805746721
Inverter 26,0.10395820526853093
Inverter 27,0.09898016925601395
Inverter 28,0.07859307359307294
Inverter 29,0.06941192529427569
Inverter 30,0.07784760656276962
Inverter 31,0.09327245168622673
Inverter 32,0.09857286009008219
Inverter 33,0.09346012097734356
Inverter 34,0.10439655874136788
Inverter 35,0.09032835108695611
Inverter 36,0.06256117844352885
Inverter 37,0.07336505814446936
Inverter 38,0.09266987384634225
Inverter 39,0.1156324367141951
Inverter 40,0.0880564215858307
Inverter 41,0.08544986544986358
Inverter 42,0.08061464061463768
Inverter 43,0.10651197844299247
Inverter 44,0.09542611715532552
Inverter 45,0.0930790760202494
Inverter 46,0.10492155256861116
Inverter 47,0.09159096632780689
Inverter 48,0.10227012948374668
Inverter 49,0.07840988268232325
Inverter 50,0.06368132838720832
Inverter 51,0.09403326175738215
Inverter 52,0.0676909453380014
Inverter 53,0.07291997880232878
Inverter 54,0.07638852756499556
Inverter 55,0.06988614146300011
Inverter 56,0.06893908983812662
Inverter 57,0.06688486041426976
Inverter 58,0.06935574160542114
Inverter 59,0.07454567088071087
Inverter 60,0.08578876200185243
Inverter 61,0.08143577022267003
Inverter 62,0.11303674987885604
Inverter 63,0.09833686505701605
Inverter 64,0.08450536984286332
Inverter 65,0.09216331716331572
Inverter 66,0.08654286448403796
Inverter 67,0.09270185961362114
Inverter 68,0.11307348462521945
Inverter 69,0.08352013204954051
Inverter 70,0.11826185388685709
Inverter 71,0.05373347769047464
Inverter 72,0.07536426207799207
Inverter 73,0.0669010446930794
Inverter 74,0.09770335028956723
Inverter 75,0.12311632811630975
