Inverter,Slope,Time
Inverter 1,-1.970000000000006,165
Inverter 2,-2.2443333333333424,165
Inverter 3,-1.872333333333364,164
Inverter 4,-1.9070000000000056,174
Inverter 5,-1.7150000000000305,164
Inverter 6,-1.861333333333337,174
Inverter 7,-2.0033333333333387,165
Inverter 8,-2.022666666666669,165
Inverter 9,-2.0823333333333425,165
Inverter 10,-2.0686666666666715,165
Inverter 11,-2.164333333333338,165
Inverter 12,-1.9660000000000049,165
Inverter 13,-2.150333333333338,165
Inverter 14,-2.116666666666673,165
Inverter 15,-2.041333333333338,165
Inverter 16,-2.175000000000003,165
Inverter 17,-2.2150000000000016,165
Inverter 18,-2.026000000000001,173
Inverter 19,-1.8403333333333411,165
Inverter 20,-1.9243333333333341,173
Inverter 21,-1.9216666666666755,165
Inverter 22,-2.0123333333333404,165
Inverter 23,-2.321000000000002,165
Inverter 24,-2.125333333333341,165
Inverter 25,-2.097000000000003,173
Inverter 26,-2.130000000000003,173
Inverter 27,-2.1236666666666695,173
Inverter 28,-2.313666666666675,165
Inverter 29,-2.4096666666666753,165
Inverter 30,-2.411666666666677,165
Inverter 31,-2.155666666666669,173
Inverter 32,-2.1623333333333354,173
Inverter 33,-2.209333333333336,173
Inverter 34,-2.4736666666666687,173
Inverter 35,-2.1986666666666705,173
Inverter 36,-1.9356666666666709,165
Inverter 37,-2.1070000000000086,165
Inverter 38,-3.2486666666666792,165
Inverter 39,-3.027999999999973,166
Inverter 40,-2.851333333333342,165
Inverter 41,-3.188666666666679,165
Inverter 42,-2.6360000000000143,165
Inverter 43,-2.5823333333333376,173
Inverter 44,-3.1441379310344972,165
Inverter 45,-3.0976666666666786,165
Inverter 46,-3.4203333333333834,164
Inverter 47,-3.138666666666714,164
Inverter 48,-3.6133333333333852,164
Inverter 49,-2.5866666666667113,164
Inverter 50,-2.028000000000006,165
Inverter 51,-2.063666666666671,173
Inverter 52,-2.029333333333341,165
Inverter 53,-2.0800000000000085,165
Inverter 54,-2.4216666666666753,165
Inverter 55,-2.3249999999999553,159
Inverter 56,-2.2676666666666256,159
Inverter 57,-1.9980000000000084,165
Inverter 58,-4.364333333333262,160
Inverter 59,-4.026999999999977,161
Inverter 60,-5.294999999999963,161
Inverter 61,-3.467999999999977,161
Inverter 62,-6.6599999999999575,161
Inverter 63,-6.199666666666625,161
Inverter 64,-4.372999999999912,159
Inverter 65,-3.7208333333333066,161
Inverter 66,-3.0362500000000154,165
Inverter 67,-3.2041666666666826,165
Inverter 68,-2.8799999999999497,172
Inverter 69,-2.871666666666675,165
Inverter 70,-2.865833333333284,172
Inverter 71,-2.8149999999999498,160
Inverter 72,-3.7172727272727055,161
Inverter 73,-3.0595454545454346,161
Inverter 74,-2.379999999999961,172
Inverter 75,-2.585454545454547,174
